brand,retweet_sum,reply_sum,like_sum,quote_sum,score1,score2,rank1,final_score,final_rank,pd,ad_length,cost,engagement_ROI_2,engagement_ROI_3,celeb
Limit Break,1438013759.00,3766.00,28944.00,254.00,1438046723.00,287606877.60,1,402650651.40,1,0.00%,1.00,"$7,000,000.00",4108.67,5752.15,False
Paramount Plus: Stallone Faces Off,770217167.00,4051.00,148786.00,2588.00,770372592.00,154060562.50,2,215692275.47,2,46.43%,1.00,"$7,000,000.00",2200.87,3081.32,True
MARVEL: Guardians Galaxy,607831147.00,19395.00,910524.00,25012.00,608786078.00,121673105.10,3,170386427.95,3,57.68%,1.00,"$7,000,000.00",1738.19,2434.09,True
Warner Bros. Trailer: The Flash,504669560.00,33954.00,633503.00,10340.00,505347357.00,101011584.50,4,141445457.70,4,64.87%,1.50,"$10,500,000.00",962.02,1347.10,True
Disney 100 Special Look,76565799.00,13556.00,195346.00,3034.00,76777735.00,15337974.80,5,21481701.10,5,94.66%,3.00,"$21,000,000.00",73.04,102.29,False
DraftKings: Kevin Hart- Free bet,73035129.00,6032.00,286005.00,5829.00,73332995.00,14639767.50,6,20510118.95,6,94.91%,1.00,"$7,000,000.00",209.14,293.00,True
Disney Trailer: Indiana Jones and the Dial of Destiny,63423948.00,8104.00,199198.00,5656.00,63636906.00,12709403.00,7,17802098.16,7,95.58%,1.33,"$9,310,000.00",136.51,191.21,True
TurboTax Live 2023,60773816.00,1636.00,114916.00,478.00,60890846.00,12166936.80,8,17040189.74,8,95.77%,1.50,"$10,500,000.00",115.88,162.29,False
Tubi: Who Touched the Remote!,52262841.00,9326.00,337003.00,9174.00,52618344.00,10492735.90,9,14705804.56,9,96.35%,0.50,"$3,500,000.00",299.79,420.17,False
Pop Corners: Breaking Bad reunion,48492341.00,11218.00,129391.00,1640.00,48634590.00,9715428.70,10,13606980.98,10,96.62%,1.00,"$7,000,000.00",138.79,194.39,True